flowId,nodeType,throughput,packetLoss,delay
1,wireless,34408.60,0.00,0.02
2,wireless,53205.79,0.00,0.01
3,wireless,38169.93,0.00,0.05
4,wireless,68817.20,0.00,0.01
5,wireless,36214.25,0.00,0.03
6,wireless,37634.93,0.00,0.03
7,wireless,35894.28,0.00,0.02
8,wireless,36542.82,0.00,0.03
9,wireless,4565.31,0.00,0.01
10,wireless,36894.89,0.00,0.04
11,wireless,37373.01,0.00,0.03
12,wireless,38107.67,0.00,0.02
13,wireless,40672.06,0.00,0.04
14,wireless,38449.51,0.00,0.02
15,wireless,40000.00,0.00,0.04
16,wireless,37634.93,0.00,0.02
33,wireless,49113.23,0.00,0.02
34,wireless,80717.49,12.50,0.03
35,wireless,56984.57,0.00,0.02
36,wireless,71064.32,0.00,0.03
37,wireless,71469.09,12.50,0.03
38,wireless,71064.32,0.00,0.02
39,wireless,63520.07,0.00,0.02
40,wireless,155731.80,50.00,0.06
41,wireless,830769.23,50.00,0.08
42,wireless,936416.18,62.50,0.09
43,wireless,91587.52,37.50,0.04
44,wireless,95801.30,25.00,0.04
45,wireless,77847.19,25.00,0.04
46,wireless,55706.00,0.00,0.02
47,wireless,65178.03,0.00,0.02
48,wireless,61944.36,0.00,0.01
