flowId,nodeType,throughput,packetLoss,delay
1,wireless,31524.97,0.00,0.02
2,wireless,33357.13,0.00,0.03
3,wireless,35707.73,0.00,0.04
4,wireless,58109.45,0.00,0.01
5,wireless,33309.57,0.00,0.03
6,wireless,35228.47,0.00,0.05
7,wireless,32875.94,0.00,0.02
8,wireless,32125.42,0.00,0.05
9,wireless,35188.67,0.00,0.03
10,wireless,33565.63,0.00,0.05
11,wireless,36462.97,0.00,0.05
12,wireless,34207.06,0.00,0.05
13,wireless,36602.95,0.00,0.04
14,wireless,34057.44,0.00,0.03
15,wireless,34925.62,0.00,0.02
16,wireless,38907.40,0.00,0.01
33,wireless,50931.38,0.00,0.02
34,wireless,69186.42,0.00,0.02
35,wireless,46436.63,0.00,0.02
36,wireless,64845.39,0.00,0.02
37,wireless,73257.59,0.00,0.02
38,wireless,931034.48,62.50,0.09
39,wireless,58048.91,0.00,0.02
40,wireless,830769.23,50.00,0.06
41,wireless,936416.18,62.50,0.08
42,wireless,67938.77,25.00,0.04
43,wireless,177924.22,25.00,0.05
44,wireless,150298.21,12.50,0.04
45,wireless,83013.07,25.00,0.03
46,wireless,54257.72,0.00,0.02
47,wireless,65703.42,0.00,0.02
48,wireless,64845.39,0.00,0.01
