flowId,nodeType,throughput,packetLoss,delay
1,wireless,56655.74,0.00,0.01
2,wireless,73257.59,0.00,0.02
3,wireless,931034.48,62.50,0.13
4,wireless,91113.61,25.00,0.03
5,wireless,72192.51,0.00,0.02
6,wireless,931034.48,62.50,0.10
7,wireless,124546.95,12.50,0.04
8,wireless,52548.35,0.00,0.02
9,wireless,936416.18,62.50,0.12
10,wireless,207559.26,25.00,0.05
11,wireless,936416.18,62.50,0.12
12,wireless,49157.94,25.00,0.05
13,wireless,931034.48,62.50,0.09
14,wireless,936416.18,62.50,0.10
15,wireless,936416.18,62.50,0.11
16,wireless,65773.45,0.00,0.01
17,wireless,931034.48,62.50,0.13
18,wireless,936416.18,62.50,0.11
19,wireless,56103.90,0.00,0.02
20,wireless,936416.18,62.50,0.10
21,wireless,936416.18,62.50,0.09
22,wireless,936416.18,62.50,0.08
23,wireless,76471.78,12.50,0.02
24,wireless,936416.18,62.50,0.12
25,wireless,931034.48,62.50,0.11
26,wireless,936416.18,62.50,0.13
27,wireless,931034.48,62.50,0.13
28,wireless,931034.48,62.50,0.09
29,wireless,931034.48,62.50,0.11
30,wireless,936416.18,62.50,0.09
31,wireless,82245.43,12.50,0.03
32,wireless,60750.95,0.00,0.02
